100 486
45 5 130
45 94 127
46 37 15
46 50 20
46 14 26
46 32 19
46 95 28
47 19 259
47 93 220
47 52 293
47 65 298
47 28 255
47 78 285
48 72 13
48 79 14
48 2 27
48 41 11
48 59 16
48 63 24
48 17 21
48 15 15
49 67 29
49 51 13
49 24 28
49 82 28
49 28 21
49 15 25
49 50 22
49 7 20
49 31 19
50 16 29
51 63 25
51 53 24
51 62 19
51 7 23
52 95 12
52 40 26
52 87 24
52 53 29
53 20 28
53 32 15
54 48 20
54 4 23
54 22 25
54 11 26
54 70 19
55 86 27
55 68 11
55 4 11
55 11 12
56 14 26
56 84 18
56 32 25
56 43 25
56 97 28
56 92 26
56 35 21
56 2 23
56 36 22
56 26 27
56 45 27
56 22 13
57 71 28
57 65 18
57 93 18
58 100 14
58 75 11
58 20 12
58 6 21
59 47 12
59 84 20
59 97 13
59 10 25
60 69 22
60 76 18
60 85 13
60 23 19
60 94 27
61 73 12
61 12 17
61 39 24
61 42 12
62 25 17
62 65 23
63 23 21
63 85 22
63 19 28
63 25 11
63 54 21
63 95 21
64 69 14
64 11 16
64 36 20
64 13 15
65 82 25
65 8 26
66 13 18
66 48 22
66 7 21
66 19 22
66 20 15
66 2 16
66 79 13
67 83 21
67 33 26
67 38 25
67 54 13
67 47 11
67 56 23
67 26 28
68 92 20
68 17 11
68 63 29
68 55 25
68 8 28
68 65 25
69 55 112
69 45 168
69 13 127
69 42 155
69 66 130
69 65 161
69 6 175
69 7 158
70 76 11
70 75 16
70 53 27
70 79 26
71 95 29
71 3 11
71 19 17
71 46 14
71 44 23
71 25 24
72 77 12
72 73 19
72 98 16
72 61 16
72 58 27
72 90 27
72 50 29
72 1 17
73 41 152
73 14 151
73 49 131
73 56 153
73 10 143
74 36 29
74 25 19
74 45 24
74 27 23
74 26 20
74 17 13
74 89 27
75 98 141
75 70 127
75 41 162
75 24 157
76 51 26
76 42 16
76 3 28
76 46 12
76 29 16
77 38 29
77 58 17
77 31 28
77 83 27
77 79 24
78 52 19
78 57 23
78 84 20
79 78 22
79 44 14
79 70 24
79 98 25
79 4 28
80 29 21
80 77 24
80 79 18
80 24 22
80 7 21
81 56 27
81 11 28
81 55 22
81 35 29
81 71 23
82 5 11
82 28 14
82 47 22
82 88 28
82 76 26
83 5 14
83 7 18
83 11 26
83 55 18
83 49 14
83 95 29
83 59 12
84 48 151
84 58 146
85 60 15
85 64 28
85 16 21
86 99 150
86 32 160
86 42 156
87 94 28
87 63 17
87 8 24
87 84 16
87 38 18
87 96 16
87 48 18
88 14 21
88 56 23
88 79 16
88 18 17
88 21 27
89 37 249
89 54 253
89 92 272
90 49 146
90 7 135
91 33 28
91 35 15
91 89 19
91 19 12
91 32 29
91 15 13
91 90 21
91 20 17
91 69 21
92 95 18
92 6 19
92 2 13
93 30 16
93 36 18
93 72 24
93 29 25
93 7 29
94 89 20
94 43 19
94 29 17
94 9 26
95 48 15
95 36 26
95 24 28
95 62 20
95 31 17
96 46 19
96 75 28
96 87 24
96 64 13
97 6 23
97 9 13
97 95 11
97 12 25
97 62 19
97 57 17
97 80 12
98 44 26
98 70 18
98 42 14
98 14 23
98 41 12
99 54 17
99 67 15
99 64 16
99 40 17
99 25 20
99 26 15
99 17 11
99 69 28
100 53 26
100 46 15
23 55
